
[2026-01-12 10:29:15] | ID: Unknown | Email: Unknown | Type: INFO | Function: staff_management | Message: Selected Staff Management
[2026-01-12 10:29:22] | ID: Unknown | Email: Unknown | Type: INFO | Function: inventory_management | Message: Selected Inventory Management
[2026-01-12 10:29:32] | ID: Unknown | Email: Unknown | Type: INFO | Function: inventory_management | Message: Selected Inventory Management
[2026-01-12 10:29:41] | ID: Unknown | Email: Unknown | Type: INFO | Function: exit | Message: Logged out from Admin Dashboard
[2026-01-12 10:46:25] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 10:46:27] | ID: Unknown | Email: Unknown | Type: INFO | Function: menu_management | Message: Selected Menu Management
[2026-01-12 10:46:49] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Selected Sales Report
[2026-01-12 10:48:47] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 10:48:50] | ID: Unknown | Email: Unknown | Type: INFO | Function: exit | Message: Logged out from Admin Dashboard
[2026-01-12 10:49:04] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 10:49:06] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Selected Sales Report
[2026-01-12 10:49:44] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Selected Sales Report
[2026-01-12 10:49:51] | ID: Unknown | Email: Unknown | Type: INFO | Function: exit | Message: Logged out from Admin Dashboard
[2026-01-12 12:07:31] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 12:07:33] | ID: Unknown | Email: Unknown | Type: INFO | Function: menu_management | Message: Selected Menu Management
